population,name,country,region,longitude,latitude
"",Heerlen,NL,"",5.983,50.900
139429,Heidelberg,DE,Baden-Wuerttemberg,8.70,49.42
"",Den Helder,NL,"",4.750,52.467
"",Helmond,NL,"",5.683,51.467
490034,Helsinki,FI,"",24.967,60.217
"",Hongkong,HK,"",113.917,22.333
365272,Honolulu,US,HI,-157.833,21.417
"",Istanbul,TR,"",28.950,41.000
"",Iwanowo,"","",41.133,57.050
"",Izmir,"","",27.167,38.417
9200000,Jakarta,ID,"",106.817,-6.167
"",Johannesburg,SA,"",28.083,-26.250
"",Kaapstad,SA,"",18.433,-33.967
"",Kabul,"","",69.167,34.550
"",Karachi,"","",67.000,24.867
2587000,Kiew,RU,Ukraine,30.517,50.433
"",Klagenfurt,DE,"",14.300,46.633
1479218,Kyoto,JP,"",136.917,35.000
"",Lagos,"","",3.333,6.500
"",Leeuwarden,NL,"",5.783,53.200
"",Leiden,NL,"",4.500,52.150
4456000,Leningrad,RU,"",30.333,59.917
"",Liechtenstein,LI,"",9.533,47.167
"",Lima,PE,"",-76.833,-12.250
807167,Lisboa,PT,"",-9.167,38.700
6574009,London,UK,England,-0.083,51.500
76130,Luxembourg,LU,"",6.117,49.617
413095,Lyon,FR,"",4.867,45.767
"",Maastricht,NL,"",5.683,50.850
"",Madras,"","",80.250,13.117
3102846,Madrid,ES,"",-3.717,40.400
"",Manila,PH,"",121.000,14.667
874436,Marseille,FR,"",5.367,43.283
368383,Minneapolis,US,MI,-93.333,44.950
"",Moermansk,"","",33.167,68.917
"",Mogadiscio,"","",45.517,2.033
"",Montevideo,"","",-56.167,-34.667
1015420,Montreal,CA,Quebec,-73.600,45.500
8769000,Moskwa,RU,"",37.600,55.750
1255623,Muenchen,DE,Bayern,11.60,48.13
2116381,Nagoya,JP,"",137.050,35.133
"",Nairobi,"","",37.167,-1.300
1204211,Napoli,IT,"",14.267,40.850
7322564,New York,US,NY,-74.000,40.750
"",Novaja Semlja,RU,"",56.000,74.000
"",Nova Scotia,"","",-65.000,45.000
"",Nowosibirsk,RU,"",83.333,55.250
2636249,Osaka,JP,"",135.467,34.683
452415,Oslo,NO,"",10.750,59.950
300763,Ottawa,CA,Ontario,-75.683,45.433
"",Paramaribo,SR,"",-55.167,5.833
2078900,Paris,FR,"",2.333,48.167
"",La Paz,BO,"",-68.250,-16.167
"",Phnom Penh,VN,"",104.867,11.567
"",Popocatepetl,MX,"",-98.750,19.167
"",Port-au-Prince,HT,"",-72.333,18.667
"",Praha,CZ,"",14.417,50.083
"",Pyongyang,"","",126.000,39.000
"",Quito,"","",-78.750,-0.250
"",Reykjavik,IS,"",-21.833,64.150
114600,Rimini,IT,"",12.517,44.050
5603388,Rio de Janeiro,BR,"",-43.500,-23.000
2815457,Roma,IT,"",12.500,41.933
576300,Rotterdam,NL,"",4.500,51.917
"",Saigon,VN,"",106.833,10.900
723959,San Francisco,US,CA,-122.500,37.417
"",Santiago,CL,"",-70.500,-33.417
10063110,Sao Paolo,BR,"",-46.583,-23.667
7220000,Shanghai,CN,"",121.500,31.417
2685400,Singapore,SG,"",103.833,1.333
1119152,Sofia,BG,"",23.317,42.700
672187,Stockholm,SE,"",18.000,59.333
"",Sumatra,ID,"",102.000,0.000
"",Sydney,AU,"",151.200,-33.917
"",Taipei,"","",121.567,25.050
"",Tehran,IR,"",51.450,35.667
8354615,Tokyo,JP,"",139.750,35.717
1035565,Torino,IT,"",7.700,45.083
612289,Toronto,CA,Ontario,-79.417,43.667
"",Tunis,TN,"",10.167,36.783
230700,Utrecht,NL,Utrecht,5.133,52.083
1651200,Warszawa,PL,"",21.000,52.250
606900,Washington,US,DC,-77.000,39.000
"",Wien,AT,"",16.417,48.217
"",Wladiwostok,RU,"",132.000,43.167
2992926,Yokohama,JP,"",149.667,35.500
697925,Zagreb,CR,"",15.967,45.850
342861,Zuerich,CH,"",8.533,47.367
223818,Bahia Bianca,AR,"",-62.5,-38.6
"",Graz,AT,"",15.4,47.1
"",Linz,AT,"",14.3,48.3
"",Salzburg,AT,"",13.05,47.8
"",Melbourne,AU,"",145,-38
"",Brisbane,AU,"",153.5,-28
"",Leuven,BE,"",4.75,50.88
200891,Liege,BE,"",5.55,50.63
"",Sart-Tilman,BE,"",5.6,50.66
"",Wilrijk,BE,"",4.38,51.15
201500,Vitoria,BR,"",-40.5,-20.5
841016,Campinas,BR,"",-47.0,-22.8
1287623,Recife,BR,"",-35,-8
"",Sete Lagoas,BR,"",-44.2,-19.4
431147,Vancouver,CA,British Columbia,-123,49.2
306728,Hamilton,CA,Ontario,-79.8,43.3
177641,Saskatoon,CA,Saskatchewan,-106.8,42.2
169587,Basel,CH,"",7.6,47.6
"",Brno,CZ,"",16.6,49.2
246671,Aachen,DE,Nordrhein-Westfalen,6.10,50.77
72000,Bayreuth,DE,Bayern,11.6,49.95
30000,Biberach an der Riss,DE,Baden-Wuerttemberg,9.8,48.15
324674,Bielefeld,DE,Nordrhein-Westfalen,8.53,52.03
401058,Bochum,DE,Nordrhein-Westfalen,7.18,51.47
256267,Braunschweig,DE,Niedersachsen,10.50,52.25
139754,Darmstadt,DE,Hessen,8.65,49.87
"",Dossenheim,DE,Baden-Wuerttemberg,8.7,49.5
179000,Freiburg,DE,Baden-Wuerttemberg,7.8,47.95
73705,Giessen,DE,Hessen,8.70,50.58
128419,Goettingen,DE,Niedersachsen,9.95,51.53
295372,Halle/Saale,DE,Sachsen-Anhalt,11.97,51.47
524823,Hannover,DE,Niedersachsen,9.73,52.38
43000,Homburg,DE,Saarland,7.25,49.3
100093,Jena,DE,Thueringen,11.58,50.93
31100,Juelich,DE,Nordrhein-Westfalen,6.35,50.93
277998,Karlsruhe,DE,Baden-Wuerttemberg,8.40,49.00
962517,Koeln,DE,Nordrhein-Westfalen,6.95,50.93
165000,Ludwigshafen,DE,Rheinland-Pfalz,8.45,49.45
185487,Mainz,DE,Rheinland-Pfalz,8.27,50.00
76582,Marburg,DE,Hessen,8.60,50.82
147701,Oldenburg,DE,Niedersachsen,8.22,53.10
168078,Osnabrueck,DE,Niedersachsen,8.05,52.28
125337,Regensburg,DE,Bayern,12.12,49.02
190902,Saarbruecken,DE,Saarland,6.97,49.25
56400,Stolberg,DE,Nordrhein-Westfalen,6.2,50.15
594506,Stuttgart,DE,Baden-Württemberg,9.20,48.78
83553,Tuebingen,DE,Baden-Wuerttemberg,9.07,48.53
114839,Ulm,DE,Baden-Wuerttemberg,10.00,48.40
386625,Wuppertal,DE,Nordrhein-Westfalen,7.17,51.25
128875,Wuerzburg,DE,Bayern,9.95,49.80
202300,Aarhus,DK,"",10.1,56.15
466723,Kobenhavn,DK,"",12.6,55.7
140100,Odense,DK,"",10.4,55.4
150021,Alcala de Henares,ES,"",-3.35,40.5
263334,Granada,ES,"",-3.55,37.2
149800,Murcia,ES,"",-1.2,38
582239,Zaragoza,ES,"",-0.87,41.5
"",Joensuu,FI,"",29.7,62.7
114000,Tartu,EE,"",26.75,58.4
160456,Turku,FI,"",22.3,60.5
"",Pontoise,FR,"",2.1,49.05
"",Saclay,FR,"",2.3,48.7
156637,Grenoble,FR,"",5.75,45.2
168424,Lille,FR,"",3.1,50.65
248712,Strasbourg,FR,"",7.8,48.6
347995,Toulouse,FR,"",1.5,43.65
132209,Tours,FR,"",0.65,47.4
"",Ioannina,GR,"",20.8,39.7
406413,Thessaloniki,GR,"",22.9,40.65
"",Debrecen,HU,"",21.6,47.55
"",Rehovot,IL,"",34.8,31.7
373789,Chandigarh,IN,"",76.9,30.8
273036,New Delhi,IN,"",77.3,28.5
727427,Genova,IT,"",8.85,44.45
1495260,Milano,IT,"",9.16,45.48
176880,Modena,IT,"",10.9,44.65
175842,Parma,IT,"",10.3,44.8
82065,Pavia,IT,"",9.15,45.25
"",Potenza,IT,"",15.85,40.7
239031,Trieste,IT,"",13.8,45.7
100211,Udine,IT,"",13.25,46.07
259151,Verona,IT,"",10.95,45.45
"",Viterbo,IT,"",12.1,42.4
317800,Tel Aviv,IL,"",34.9,32.1
432406,Bologna,IT,"",11.35,44.5
220574,Cagliari,IT,"",9.1,39.25
294045,Aomori,JP,"",140.8,40.8
788930,Chiba,JP,"",140.2,35.6
935933,San Antonio,US,TX,-98.5,29.4
134,Hirosaki,JP,"",140.45,40.65
1542979,Sapporo,JP,"",141.35,43.05
"",Nairobi,KE,"",37,-1.5
"",Seoul,KR,"",127,37.5
"",Taejeon,KR,"",127,36.2
915000,Riga,LV,"",24.15,56.9
192770,Cuernavaca,MX,"",-99.2,18.9
8831079,Mexico,MX,"",-99.2,19.4
"",Haren,NL,"",6.63,53.17
"",Nijmegen,NL,"",5.86,51.83
"",Vlaardingen,NL,"",4.35,51.9
"",Wageningen,NL,"",5.67,51.95
209320,Bergen,NO,"",5.2,60.4
"",Huddinge,SE,"",18.0,59.4
"",Tromsoe,NO,"",18.8,69.7
135010,Trondheim,NO,"",10.5,63.5
76964,Dunedin,NZ,"",170.6,-45.8
199600,Torun,PL,"",18.6,53.06
516259,Seattle,US,WA,-122.3,47.6
327368,Porto,PT,"",-8.6,41.15
"",Kazan,RU,"",49,56.5
"",Moscow,RU,"",37.6,55.75
"",Bloemfontein,SA,"",26.5,-29
"",Pietermaritzburg,SA,"",30.5,-29.5
"",Pretoria,SA,"",28,-26
431840,Goteborg,SE,"",12,57.7
108359,Helsingborg,SE,"",12.7,56.05
"",Lund,SE,"",13.2,54.7
"",Molndal,SE,"",12.1,57.6
"",Umea,SE,"",20.3,63.8
164754,Uppsala,SE,"",17.7,59.8
"",Ljubljana,SI,"",14.55,46.1
"",Cadiz,ES,"",6.35,36.55
"",Bangkok,TH,"",100.7,13.6
656927,Tainan,TW,"",120.2,23
"",Cambridge,UK,England,0.1,52.25
"",Colchester,UK,England,0.9,51.9
324394,Leicester,UK,England,-1.1,52.6
"",Norwich,UK,England,1.3,52.65
113874,Oxford,UK,England,-1.3,51.75
"",Salford,UK,"",-2.3,53.5
211321,Southampton,UK,England,-1.4,50.9
172433,Swansea,UK,Wales,-3.9,51.65
"",Warrington,UK,"",-2.5,53.4
265968,Birmingham,US,AL,-86.8,33.5
175795,Little Rock,US,AR,-92.3,34.7
102724,Berkeley,US,CA,-122.3,37.83
"",La Jolla,US,CA,-117.3,32.75
"",Livermore,US,CA,-121.7,37.7
55900,Palo Alto,US,CA,-122.15,37.4
131591,Pasadena,US,CA,-118.15,34.2
226505,Riverside,US,CA,-117.4,33.95
191262,Madison,US,WI,-89.3,43.15
"",Santa Cruz,US,CA,-122.1,36.9
51555,Longmont,US,CO,-105.1,40.15
"",Farmington,US,CT,-72.83,41.7
130474,New Haven,US,CT,-72.9,41.3
71529,Wilmington,US,DE,-75.55,39.7
280015,Tampa,US,FL,-82.5,27.95
47198,Ames,US,IA,-93.6,42.05
59738,Iowa City,US,IA,-91.5,41.65
36344,Urbana,US,IL,-88.2,40.15
25907,West Lafayette,US,IN,-86.9,40.4
95802,Cambridge,US,MA,-71.1,42.37
23400,Shrewsbury,US,MA,-71.7,42.3
736014,Baltimore,US,MD,-76.6,39.3
62936,Bethesda,US,MD,-77.1,38.95
21927,College Park,US,MD,-76.9,39.03
"",Fort Detrick,US,MD,-77.43,39.43
40148,Frederick,US,MD,-77.4,39.4
44835,Rockville,US,MD,-77.15,39.1
6815,Columbia,US,MS,-81.85,31.2
"",East Lansing,US,MI,-84.5,42.7
368383,Minneapolis,US,MN,-93.25,44.95
"",Rochester,US,MN,-92.4,44.05
"",St. Louis,US,MO,-90.4,38.6
"",Lincoln,US,NE,-96.6,40.8
335795,Omaha,US,NE,-95.9,41.3
275221,Newark,US,NJ,-74.2,40.7
43800,Piscataway,US,NJ,-74.47,40.57
12016,Princeton,US,NJ,-74.7,40.35
25325,Rahway,US,NJ,-74.3,40.6
29541,Ithaca,US,NY,-76.6,42.4
"",Pearl River,US,NY,-74.05,41.1
231636,Rochester,US,NY,-77.65,43.15
"",Stony Brook,US,NY,-73.15,40.9
"",Upton,US,NY,-72.8,40.8
28176,Bowling Green,US,OH,-83.6,41.25
364040,Cincinnati,US,OH,-84.5,39.1
632910,Columbus,US,OH,-83,39.95
112669,Eugene,US,OR,-123.1,44.1
1585577,Philadelphia,US,PA,-75.2,39.95
369879,Pittsburgh,US,PA,-80,40.4
610337,Memphis,US,TN,-90.05,35.15
465622,Austin,US,TX,-97.7,30.2
52456,College Station,US,TX,-96.3,30.6
59070,Galveston,US,TX,-94.8,29.2
1630553,Houston,US,TX,-95.4,29.7
66333,Aalen,DE,Baden-Wuerttemberg,10.12,48.83
"",Aichach,DE,Bayern,11.13,48.43
77847,Arnsberg,DE,Nordrhein-Westfalen,8.05,51.38
65650,Aschaffenburg,DE,Bayern,9.17,49.97
264764,Augsburg,DE,Bayern,10.90,48.35
70770,Bamberg,DE,Bayern,10.90,49.90
60121,Bergheim/Erft,DE,Nordrhein-Westfalen,6.63,50.95
104991,Bergisch Gladbach,DE,Nordrhein-Westfalen,7.17,50.98
70272,Bocholt,DE,Nordrhein-Westfalen,6.62,51.82
119676,Bottrop,DE,Nordrhein-Westfalen,6.92,51.52
89208,Brandenburg/Havel,DE,Brandenburg,12.57,52.42
551604,Bremen,DE,Bremen,8.80,53.08
131492,Bremerhaven,DE,Bremen,8.58,53.55
79101,Castrop-Rauxel,DE,Nordrhein-Westfalen,7.30,51.55
73671,Celle,DE,Niedersachsen,10.08,52.62
280790,Chemnitz,DE,Sachsen,12.92,50.83
128121,Cottbus,DE,Brandenburg,14.35,51.72
77127,Delmenhorst,DE,Niedersachsen,8.62,53.05
93287,Dessau,DE,Sachsen-Anhalt,12.25,51.85
72101,Detmold,DE,Nordrhein-Westfalen,8.87,51.92
67619,Dinslaken,DE,Nordrhein-Westfalen,6.72,51.57
59915,Dormagen,DE,Nordrhein-Westfalen,5.75,51.10
79941,Dorsten,DE,Nordrhein-Westfalen,6.97,51.63
480202,Dresden,DE,Sachsen,13.75,51.05
89852,Dueren,DE,Nordrhein-Westfalen,6.50,50.80
574936,Duesseldorf,DE,Nordrhein-Westfalen,6.78,51.22
636797,Duisburg,DE,Nordrhein-Westfalen,6.75,51.43
200799,Erfurt,DE,Thueringen,11.03,50.97
102383,Erlangen,DE,Bayern,11.03,49.60
622380,Essen,DE,Nordrhein-Westfalen,6.95,51.45
91388,Esslingen,DE,Baden-Wuerttemberg,10.03,48.82
87991,Flensburg,DE,Schleswig-Holstein,9.45,54.78
108097,Fuerth,DE,Bayern,11.00,49.47
58711,Fulda,DE,Hessen,9.68,50.55
62196,Garbsen,DE,Niedersachsen,9.60,52.42
295037,Gelsenkirchen,DE,Nordrhein-Westfalen,7.08,51.33
122974,Gera,DE,Thueringen,12.18,50.85
79931,Gladbeck,DE,Nordrhein-Westfalen,6.98,51.57
69875,Görlitz,DE,Sachsen,15.00,51.15
63941,Greifswald,DE,Mecklenburg-Vorpommern,13.40,54.10
62737,Grevenbroich,DE,Nordrhein-Westfalen,6.57,51.08
91634,Guetersloh,DE,Nordrhein-Westfalen,8.37,51.90
214877,Hagen,DE,Nordrhein-Westfalen,7.45,51.37
59209,Hameln,DE,Niedersachsen,9.37,52.12
182390,Hamm,DE,Nordrhein-Westfalen,7.82,51.67
89156,Hanau,DE,Hessen,8.93,50.13
58481,Hattingen,DE,Nordrhein-Westfalen,7.17,51.40
122396,Heilbronn,DE,Baden-Wuerttemberg,9.23,49.13
65682,Herford,DE,Nordrhein-Westfalen,8.67,52.12
180539,Heme,DE,Nordrhein-Westfalen,8.93,54.28
69592,Herten,DE,Nordrhein-Westfalen,7.13,51.60
106303,Hildesheim,DE,Niedersachsen,6.67,50.28
62238,Hoyerswerda,DE,Sachsen,14.28,51.47
109666,Ingolstadt,DE,Bayern,11.45,48.77
98478,Iserlohn,DE,Nordrhein-Westfalen,7.70,51.38
102370,Kaiserslautern,DE,Rheinland-Pfalz,7.78,49.45
202158,Kassel,DE,Hessen,9.50,51.30
61699,Kempten,DE,Bayern,6.42,51.37
60395,Kerpen,DE,Nordrhein-Westfalen,6.70,50.87
248931,Kiel,DE,Schleswig-Holstein,10.13,54.33
109807,Koblenz,DE,Rheinland-Pfalz,7.60,50.35
75891,Konstanz,DE,Baden-Wuerttemberg,9.17,47.67
249565,Krefeld,DE,Nordrhein-Westfalen,6.53,51.33
59637,Landshut,DE,Bayern,12.17,48.52
492640,Leipzig,DE,Sachsen,12.42,51.33
161761,Leverkusen,DE,Nordrhein-Westfalen,6.98,51.03
65922,Lippstadt,DE,Nordrhein-Westfalen,8.33,51.68
86216,Ludwigsburg,DE,Baden-Wuerttemberg,9.20,48.90
217269,Luebeck,DE,Schleswig-Holstein,10.67,53.87
80277,Luedenscheid,DE,Nordrhein-Westfalen,7.63,51.22
63299,Lueneburg,DE,Niedersachsen,10.40,51.25
89741,Luenen,DE,Nordrhein-Westfalen,7.52,51.62
270546,Magdeburg,DE,Sachsen-Anhalt,11.62,52.13
92590,Marl,DE,Nordrhein-Westfalen,7.10,51.63
80420,Minden,DE,Nordrhein-Westfalen,8.90,52.30
265312,Mönchengladbach,DE,Nordrhein-Westfalen,6.42,51.20
106631,Moers,DE,Nordrhein-Westfalen,6.60,51.45
177175,Muelheim/Ruhr,DE,Nordrhein-Westfalen,7.50,50.38
267367,Muenster,DE,Nordrhein-Westfalen,7.62,51.97
85540,Neubrandenburg,DE,Mecklenburg-Vorpommern,13.27,53.55
82014,Neumuenster,DE,Schleswig-Holstein,9.98,54.08
148560,Neuss,DE,Nordrhein-Westfalen,6.70,51.20
65740,Neuwied,DE,Rheinland-Pfalz,7.47,50.43
69916,Norderstedt,DE,Schleswig-Holstein,8.98,53.72
498945,Nuernberg,DE,Bayern,11.08,49.45
226254,Oberhausen,DE,Nordrhein-Westfalen,6.83,51.45
116870,Offenbach/Main,DE,Hessen,8.77,50.10
130130,Paderborn,DE,Nordrhein-Westfalen,8.73,51.72
117450,Pforzheim,DE,Baden-Wuerttemberg,8.68,48.88
69923,Plauen,DE,Sachsen,12.10,50.48
139262,Potsdam,DE,Brandenburg,13.07,52.40
90443,Ratingen,DE,Nordrhein-Westfalen,6.83,51.30
127150,Recklinghausen,DE,Nordrhein-Westfalen,7.18,51.62
123610,Remscheid,DE,Nordrhein-Westfalen,7.18,51.17
107607,Reutlingen,DE,Baden-Wuerttemberg,9.22,48.50
73543,Rheine,DE,Nordrhein-Westfalen,7.43,52.28
58553,Rosenheim,DE,Bayern,12.15,47.85
237307,Rostock,DE,Mecklenburg-Vorpommern,12.15,54.10
60361,Ruesselsheim,DE,Hessen,8.42,50.00
117684,Salzgitter,DE,Niedersachsen,10.33,52.22
63701,Schwaebisch-Gmuend,DE,Baden-Wuerttemberg,9.80,48.82
122189,Schwerin,DE,Mecklenburg-Vorpommern,11.42,53.63
111845,Siegen,DE,Nordrhein-Westfalen,8.03,50.87
59930,Sindelfingen,DE,Baden-Wuerttemberg,9.02,48.72
166064,Solingen,DE,Nordrhein-Westfalen,7.08,51.17
58028,Stolberg,DE,Nordrhein-Westfalen,6.25,50.75
69230,Stralsund,DE,Mecklenburg-Vorpommern,13.10,54.30
99183,Trier,DE,Rheinland-Pfalz,6.65,49.75
67584,Troisdorf,DE,Nordrhein-Westfalen,7.15,50.82
64327,Unna,DE,Nordrhein-Westfalen,7.68,51.53
89643,Velbert,DE,Nordrhein-Westfalen,7.05,51.37
77204,Viersen,DE,Nordrhein-Westfalen,6.40,51.27
81315,Villingen-Schwenningen,DE,Baden-Wuerttemberg,8.47,48.05
58807,Weimar,DE,Thueringen,11.33,50.98
61111,Wesel,DE,Nordrhein-Westfalen,6.62,51.65
270873,Wiesbaden,DE,Hessen,8.25,50.08
91680,Wilhelmshaven,DE,Niedersachsen,9.12,53.53
105807,Witten,DE,Nordrhein-Westfalen,7.32,51.42
128032,Wolsburg,DE,Niedersachsen,10.32,52.45
79155,Worms,DE,Rheinland-Pfalz,8.38,49.63
